№,Секунда,Микросекунда
1,18,932418
2,18,942663
3,18,952938
4,18,963132
5,18,973304
6,18,983892
7,18,994247
8,19,4725
9,19,15435
10,19,25790
11,19,36034
12,19,46504
13,19,56813
14,19,67034
15,19,77130
16,19,87158
17,19,97424
18,19,107470
19,19,118020
20,19,128501
21,19,138862
22,19,148933
23,19,159009
24,19,169066
25,19,179533
26,19,190182
27,19,200493
28,19,210634
29,19,220722
30,19,230833
31,19,241035
32,19,251309
33,19,261775
34,19,271942
35,19,282474
36,19,292998
37,19,303533
38,19,314054
39,19,324229
40,19,335047
41,19,345177
42,19,355742
43,19,365805
44,19,376078
45,19,386691
46,19,396826
47,19,407024
48,19,417279
49,19,427726
50,19,437959
51,19,448338
52,19,458829
53,19,469197
54,19,479400
55,19,489423
56,19,499868
57,19,510013
58,19,520056
59,19,530662
60,19,540682
61,19,550827
62,19,560915
63,19,571482
64,19,581601
65,19,591655
66,19,601737
67,19,612235
68,19,623033
69,19,633704
70,19,643738
71,19,654035
72,19,664471
73,19,674517
74,19,685026
75,19,695557
76,19,706051
77,19,716387
78,19,726690
79,19,737254
80,19,747548
81,19,757659
82,19,768375
83,19,778559
84,19,789024
85,19,799672
86,19,810079
87,19,820355
88,19,830693
89,19,840773
90,19,850923
91,19,861018
92,19,871071
93,19,881585
94,19,891671
95,19,902203
96,19,912751
97,19,923350
98,19,933926
99,19,944065
100,19,954226
101,19,964674
102,19,975115
103,19,985143
104,19,995237
105,20,5473
106,20,16040
107,20,26523
108,20,36846
109,20,47187
110,20,57479
111,20,67591
112,20,77615
113,20,88252
114,20,98469
115,20,108572
116,20,119030
117,20,129546
118,20,139679
119,20,149836
120,20,160058
121,20,170330
122,20,180488
123,20,190868
124,20,201433
125,20,211499
126,20,221703
127,20,231821
128,20,242426
129,20,252459
130,20,262740
131,20,273193
132,20,283487
133,20,293733
134,20,304444
135,20,314583
136,20,324837
137,20,335055
138,20,345121
139,20,355602
140,20,366047
141,20,376251
142,20,386635
143,20,396786
144,20,407016
145,20,417381
146,20,427689
147,20,437753
148,20,447867
149,20,457963
150,20,468055
151,20,478199
152,20,488793
153,20,499012
154,20,509163
155,20,519349
156,20,529822
157,20,540053
158,20,550116
159,20,560234
160,20,570295
161,20,580790
162,20,591324
163,20,601752
164,20,612294
165,20,622404
166,20,632952
167,20,643399
168,20,653908
169,20,664504
170,20,674809
171,20,685067
172,20,695220
173,20,705572
174,20,716270
175,20,726893
176,20,737094
177,20,747410
178,20,757562
179,20,767858
180,20,777882
181,20,788676
182,20,799185
183,20,809379
184,20,819902
185,20,829958
186,20,840163
187,20,850707
188,20,861261
189,20,871670
190,20,882045
191,20,892157
192,20,902221
193,20,912812
194,20,923323
195,20,933810
196,20,944141
197,20,954291
198,20,964724
199,20,975236
200,20,985736
201,20,995975
202,21,6621
203,21,16957
204,21,27358
205,21,37568
206,21,47671
207,21,58000
208,21,68174
209,21,78232
210,21,88546
211,21,98787
212,21,109042
213,21,119123
214,21,129269
215,21,139703
216,21,150213
217,21,160467
218,21,171059
219,21,181766
220,21,192444
221,21,202904
222,21,212954
223,21,223318
224,21,233667
225,21,244248
226,21,254875
227,21,265410
228,21,276021
229,21,286543
230,21,296638
231,21,306712
232,21,316989
233,21,327100
234,21,337692
235,21,348006
236,21,358531
237,21,368808
238,21,378852
239,21,389360
240,21,399428
241,21,409825
242,21,420002
243,21,430475
244,21,440954
245,21,451016
246,21,461455
247,21,471694
248,21,482241
249,21,492774
250,21,503324
251,21,513871
252,21,523949
253,21,534035
254,21,544191
255,21,554294
256,21,564750
257,21,575135
258,21,585367
259,21,596066
260,21,606159
261,21,616431
262,21,626926
263,21,637575
264,21,647701
265,21,657900
266,21,668186
267,21,678723
268,21,688773
269,21,698995
270,21,709514
271,21,719677
272,21,729772
273,21,739890
274,21,750433
275,21,760676
276,21,771137
277,21,781553
278,21,791648
279,21,801686
280,21,812168
281,21,822331
282,21,832845
283,21,843371
284,21,853879
285,21,864400
286,21,874550
287,21,884774
288,21,895315
289,21,905806
290,21,915916
291,21,926144
292,21,936592
293,21,947073
294,21,957634
295,21,968226
296,21,978347
297,21,988441
298,21,998871
299,22,8917
300,22,18958
